Taxon_Name	MeanBootstrapValue	MeanLengthMerged	PercentageAsPairs	Total
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Ophiostomatales;f__Ophiostomataceae	1.0	281	0.0	1
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Ophiostomatales;f__Ophiostomataceae;g__Ophiostomataceae_unidentified	0.996	280	0.0	251
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Ophiostomatales;f__Ophiostomataceae;g__Sporothrix	0.976	280	0.0	903
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	0.897	243	0.0	29369
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Cephalothecaceae	0.986	246	0.0	1383
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Cephalothecaceae;g__Cephalotheca	0.817	244	0.0	6
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Cephalothecaceae;g__Phialemonium	0.977	243	0.0	448
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.959	244	0.0	1744
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomiaceae_unidentified	0.957	243	0.0	20460
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium	0.957	245	0.0	2059
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Humicola	0.954	246	0.0	5874
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Thielavia	1.0	253	0.0	1
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Incertae_sedis_23;g__Madurella	0.999	251	0.0	29
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae	0.938	243	0.0	366295
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Apodus	1.0	243	0.0	17
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Arnium	0.81	239	0.0	4
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cercophora	0.911	241	0.0	74
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cladorrhinum	0.997	252	0.0	29066
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Fimetariella	0.99	247	0.0	1
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Lasiosphaeriaceae_unidentified	0.838	245	0.0	28755
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Podospora	0.993	245	0.0	16311
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Schizothecium	0.995	242	0.0	259
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Zopfiella	0.995	243	0.0	3845
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae	0.98	242	0.0	317
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae;g__Neurospora	0.88	243	0.0	1
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae;g__Sordariaceae_unidentified	0.952	242	0.0	2429
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariales_unidentified;g__Sordariales_unidentified_1	0.996	242	0.0	58773
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_unidentified;f__Sordariomycetes_unidentified_1;g__Sordariomycetes_unidentified_1	0.996	261	0.0	54045
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales	1.0	246	0.0	173
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Amphisphaeriaceae	0.998	253	0.0	397
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Amphisphaeriaceae;g__Amphisphaeriaceae_unidentified	0.999	243	0.0	1962
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Amphisphaeriaceae;g__Pestalotiopsis	0.962	253	0.0	4298
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Hyponectriaceae;g__Hyponectriaceae_unidentified	0.987	246	0.0	107
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Incertae_sedis_9;g__Microdochium	0.989	259	0.0	57
d__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_unidentified;g__Xylariales_unidentified_1	0.999	265	0.0	133
d__Fungi;p__Basidiomycota	0.881	333	0.0	380
d__Fungi;p__Basidiomycota;c__Agaricomycetes	0.936	313	0.0	1920
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	0.88	337	0.0	5366
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae	1.0	304	0.0	18
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricus	1.0	295	0.0	2
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Coprinus	0.96	280	0.0	1
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Cystolepiota	0.893	301	0.0	111
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Lepiota	0.999	298	0.0	18
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Leucoagaricus	0.97	297	0.0	3
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricales_unidentified;g__Agaricales_unidentified_1	0.996	294	0.0	627
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae	0.8	298	0.0	1
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Conocybe	0.85	283	0.0	4
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Pholiotina	0.848	298	0.0	35
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae	0.849	297	0.0	30
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Clitopilus	1.0	287	0.0	20
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma	0.937	296	0.0	23
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lyophyllaceae;g__Lyophyllaceae_unidentified	1.0	300	0.0	51
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae;g__Omphalotus	1.0	366	0.0	1
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Mycenaceae;g__Mycena	0.944	291	0.0	20
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Niaceae	0.842	347	0.0	11454
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Niaceae;g__Lachnella	0.831	347	0.0	144
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Pleurotaceae;g__Nematoctonus	1.0	291	0.0	1
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Pluteaceae;g__Pluteus	1.0	292	0.0	7
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Pluteaceae;g__Volvariella	0.845	323	0.0	4
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae	0.81	288	0.0	1
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinellus	0.997	295	0.0	385
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis	0.952	287	0.0	1414
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Psathyrella	0.991	297	0.0	721
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Schizophyllaceae;g__Schizophyllum	1.0	332	0.0	1
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Hypholoma	1.0	302	0.0	1
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Strophariaceae;g__Psilocybe	0.985	293	0.0	64
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricomycetes_unidentified;f__Agaricomycetes_unidentified_1;g__Agaricomycetes_unidentified_1	0.87	299	0.0	3
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales	1.0	288	0.0	2
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Auriculariales_unidentified;g__Auriculariales_unidentified_1	0.996	283	0.0	41013
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Incertae_sedis_28	0.815	288	0.0	2
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Incertae_sedis_28;g__Auricularia	0.812	288	0.0	11
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae	0.999	319	0.0	416
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Ceratobasidiaceae_unidentified	0.975	320	0.0	8821
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Ceratobasidium	0.867	320	0.0	15
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Incertae_sedis_24;g__Minimedusa	1.0	325	0.0	304
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae;g__Laetisaria	1.0	283	0.0	1
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales;f__Geastraceae	0.817	277	0.0	3
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales;f__Geastraceae;g__Geastrum	0.943	284	0.0	7
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetaceae	0.86	330	0.0	1
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Xylodon	0.87	279	0.0	1
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;g__Ganoderma	0.982	290	0.0	6
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporales_unidentified;g__Polyporales_unidentified_1	1.0	286	0.0	1
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Lachnocladiaceae;g__Asterostroma	1.0	299	0.0	9
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Stephanosporaceae	0.82	341	0.0	1
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Stephanosporaceae;g__Cristinia	0.96	326	0.0	1
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	0.946	311	0.0	931
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacinaceae_unidentified	0.987	291	0.0	639
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinales_Group_B;g__Piriformospora	1.0	277	0.0	5
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinales_Group_B;g__Sebacinales_Group_B_unidentified	0.944	290	0.0	13
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinales_unidentified;g__Sebacinales_unidentified_1	0.95	288	0.0	2854
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae	0.96	326	0.0	1
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Amaurodon	0.894	325	0.0	27
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales	0.937	294	0.0	1008
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Trechispora	0.9	301	0.0	1
d__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Trechisporales_unidentified;g__Trechisporales_unidentified_1	0.986	283	0.0	36
d__Fungi;p__Basidiomycota;c__Agaricostilbomycetes;o__Agaricostilbales;f__Chionosphaeraceae;g__Kurtzmanomyces	1.0	338	0.0	2
d__Fungi;p__Basidiomycota;c__Atractiellomycetes;o__Atractiellales;f__Atractiellales_unidentified;g__Atractiellales_unidentified_1	0.998	303	0.0	296
d__Fungi;p__Basidiomycota;c__Basidiomycota_unidentified;o__Basidiomycota_unidentified_1;f__Basidiomycota_unidentified_1;g__Basidiomycota_unidentified_1_1	1.0	299	0.0	1
d__Fungi;p__Basidiomycota;c__Cystobasidiomycetes	0.943	304	0.0	19
d__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiales_unidentified;g__Erythrobasidiales_unidentified_1	1.0	296	0.0	1
d__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Incertae_sedis_58;f__Incertae_sedis_59;g__Sakaguchia	0.985	327	0.0	639
d__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Tilletiales;f__Tilletiaceae;g__Tilletia	1.0	330	0.0	3
d__Fungi;p__Basidiomycota;c__Incertae_sedis_4;o__Malasseziales;f__Incertae_sedis_5;g__Malassezia	1.0	383	0.0	7
d__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Leucosporidiaceae	0.92	306	0.0	1
d__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Leucosporidiaceae;g__Leucosporidiella	0.91	306	0.0	1
d__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Microbotryales;f__Microbotryaceae;g__Microbotryaceae_unidentified	0.99	349	0.0	1
d__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae_sedis_25	0.909	290	0.0	7
d__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae_sedis_25;g__Incertae_sedis_25_unidentified	0.993	301	0.0	78
d__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae_sedis_25;g__Rhodosporidium	0.999	309	0.0	130
d__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae_sedis_25;g__Rhodotorula	0.966	296	0.0	82
d__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolales_unidentified;g__Sporidiobolales_unidentified_1	0.995	303	0.0	2
d__Fungi;p__Basidiomycota;c__Tremellomycetes	1.0	273	0.0	2945
d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Cystofilobasidiaceae;g__Guehomyces	1.0	312	0.0	3
d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Cryptococcus	0.949	313	0.0	2747
d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium	1.0	335	0.0	2
d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis_12	0.986	255	0.0	11
d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis_12;g__Bullera	1.0	216	0.0	1
d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis_12;g__Cryptococcus_1	0.872	269	0.0	3690
d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis_12;g__Incertae_sedis_12_unidentified	0.81	277	0.0	1
d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellomycetes_unidentified;f__Tremellomycetes_unidentified_1;g__Tremellomycetes_unidentified_1	0.998	294	0.0	365
d__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Trichosporon	1.0	256	0.0	158
d__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__Pseudozyma	1.0	401	0.0	2
d__Fungi;p__Basidiomycota;c__Ustilaginomycetes;o__Ustilaginales;f__Ustilaginaceae;g__Ustilago	1.0	398	0.0	1
d__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Geminibasidiales;f__Geminibasidiaceae;g__Geminibasidium	1.0	322	0.0	1
d__Fungi;p__Basidiomycota;c__Wallemiomycetes;o__Wallemiales;f__Wallemiaceae;g__Wallemia	1.0	303	0.0	7
d__Fungi;p__Chytridiomycota	0.851	339	0.0	180
d__Fungi;p__Chytridiomycota;c__Chytridiomycetes	0.893	315	0.0	52
d__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiomycetes_unidentified;f__Chytridiomycetes_unidentified_1;g__Chytridiomycetes_unidentified_1	0.916	315	0.0	5
d__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Olpidiales;f__Olpidiaceae;g__Olpidium	1.0	344	0.0	165589
d__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Rhizophlyctidales;f__Rhizophlyctidaceae;g__Rhizophlyctis	0.932	355	0.0	89
d__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Rhizophydiales	0.81	346	0.0	1
d__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Rhizophydiales;f__Rhizophydiaceae;g__Rhizophydium	0.97	332	0.0	18
d__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Spizellomycetales;f__Spizellomycetaceae	0.811	326	0.0	72
d__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Spizellomycetales;f__Spizellomycetaceae;g__Powellomyces	0.995	339	0.0	2
d__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Spizellomycetales;f__Spizellomycetaceae;g__Spizellomyces	0.957	325	0.0	153
d__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Spizellomycetales;f__Spizellomycetaceae;g__Spizellomycetaceae_unidentified	1.0	307	0.0	9
d__Fungi;p__Chytridiomycota;c__Chytridiomycota_unidentified;o__Chytridiomycota_unidentified_1;f__Chytridiomycota_unidentified_1;g__Chytridiomycota_unidentified_1_1	0.924	322	0.0	17
d__Fungi;p__Fungi_unidentified;c__Fungi_unidentified_1;o__Fungi_unidentified_1;f__Fungi_unidentified_1_1;g__Fungi_unidentified_1_1	0.965	286	0.0	1136
d__Fungi;p__Glomeromycota	1.0	284	0.0	4
d__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Archaeosporales;f__Archaeosporaceae	0.98	306	0.0	1
d__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Archaeosporales;f__Archaeosporaceae;g__Archaeosporaceae_unidentified	0.895	306	0.0	4
d__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales	0.952	310	0.0	20
d__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Claroideoglomeraceae;g__Claroideoglomus	0.985	314	0.0	17
d__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae	0.99	298	0.0	335
d__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Funneliformis	0.987	313	0.0	10
d__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomeraceae_unidentified	0.963	287	0.0	83
d__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus	0.96	306	0.0	5
d__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus	0.991	299	0.0	1510
d__Fungi;p__Glomeromycota;c__Glomeromycota_unidentified;o__Glomeromycota_unidentified_1;f__Glomeromycota_unidentified_1;g__Glomeromycota_unidentified_1_1	0.964	292	0.0	12
d__Fungi;p__Zygomycota;c__Incertae_sedis_10	0.8	381	0.0	4
d__Fungi;p__Zygomycota;c__Incertae_sedis_10;o__Basidiobolales;f__Basidiobolaceae;g__Basidiobolus	1.0	360	0.0	395
d__Fungi;p__Zygomycota;c__Incertae_sedis_10;o__Endogonales;f__Endogonaceae;g__Endogone	1.0	345	0.0	1
d__Fungi;p__Zygomycota;c__Incertae_sedis_10;o__Mortierellales	0.828	377	0.0	37
d__Fungi;p__Zygomycota;c__Incertae_sedis_10;o__Mortierellales;f__Mortierellaceae	0.803	359	0.0	3
d__Fungi;p__Zygomycota;c__Incertae_sedis_10;o__Mortierellales;f__Mortierellaceae;g__Mortierella	0.992	345	0.0	8418
d__Fungi;p__Zygomycota;c__Incertae_sedis_10;o__Mucorales;f__Cunninghamellaceae;g__Absidia	1.0	280	0.0	11
d__Fungi;p__Zygomycota;c__Incertae_sedis_10;o__Mucorales;f__Mucoraceae;g__Actinomucor	1.0	305	0.0	55
d__Fungi;p__Zygomycota;c__Incertae_sedis_10;o__Mucorales;f__Mucoraceae;g__Mucor	1.0	276	0.0	81
d__Fungi;p__Zygomycota;c__Incertae_sedis_10;o__Mucorales;f__Rhizopodaceae;g__Rhizopus	1.0	280	0.0	340
d__Fungi;p__Zygomycota;c__Incertae_sedis_10;o__Mucorales;f__Umbelopsidaceae;g__Umbelopsis	1.0	299	0.0	4
