"","domain","phylum","class","order","family","genus"
"Rhizophlyctis","d__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Rhizophlyctidales","f__Rhizophlyctidaceae","Rhizophlyctis"
"Rhizophydiales","d__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Rhizophydiales",NA,NA
"Rhizophydium","d__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Rhizophydiales","f__Rhizophydiaceae","Rhizophydium"
"Spizellomycetaceae","d__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Spizellomycetales","f__Spizellomycetaceae",NA
"Powellomyces","d__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Spizellomycetales","f__Spizellomycetaceae","Powellomyces"
"Spizellomyces","d__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Spizellomycetales","f__Spizellomycetaceae","Spizellomyces"
"Glomeromycota","d__Fungi","p__Glomeromycota",NA,NA,NA,NA
"Archaeosporaceae","d__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Archaeosporales","f__Archaeosporaceae",NA
"Glomerales","d__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales",NA,NA
"Claroideoglomus","d__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Claroideoglomeraceae","Claroideoglomus"
"Glomeraceae","d__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae",NA
"Funneliformis","d__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","Funneliformis"
"Glomus","d__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","Glomus"
"Rhizophagus","d__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","Rhizophagus"
"Basidiobolus","d__Fungi","p__Zygomycota","c__Incertae_sedis_10","o__Basidiobolales","f__Basidiobolaceae","Basidiobolus"
"Endogone","d__Fungi","p__Zygomycota","c__Incertae_sedis_10","o__Endogonales","f__Endogonaceae","Endogone"
"Mortierellales","d__Fungi","p__Zygomycota","c__Incertae_sedis_10","o__Mortierellales",NA,NA
"Mortierellaceae","d__Fungi","p__Zygomycota","c__Incertae_sedis_10","o__Mortierellales","f__Mortierellaceae",NA
"Mortierella","d__Fungi","p__Zygomycota","c__Incertae_sedis_10","o__Mortierellales","f__Mortierellaceae","Mortierella"
"Absidia","d__Fungi","p__Zygomycota","c__Incertae_sedis_10","o__Mucorales","f__Cunninghamellaceae","Absidia"
"Actinomucor","d__Fungi","p__Zygomycota","c__Incertae_sedis_10","o__Mucorales","f__Mucoraceae","Actinomucor"
"Mucor","d__Fungi","p__Zygomycota","c__Incertae_sedis_10","o__Mucorales","f__Mucoraceae","Mucor"
"Rhizopus","d__Fungi","p__Zygomycota","c__Incertae_sedis_10","o__Mucorales","f__Rhizopodaceae","Rhizopus"
"Umbelopsis","d__Fungi","p__Zygomycota","c__Incertae_sedis_10","o__Mucorales","f__Umbelopsidaceae","Umbelopsis"
